date,sender_id,username,message
2026-01-31 09:52:03+00:00,1845668474,Docniz17,
2026-01-31 09:29:02+00:00,8320107817,,
2026-01-31 09:21:01+00:00,8348398894,,Bareskrim Usut Indikasi Pidana di Balik Anjloknya IHSG | tempo.co https://share.google/zsfloFC8a9DpUEj1d
2026-01-31 03:27:48+00:00,7991300083,,
2026-01-31 02:52:35+00:00,6412297165,rzndjb,
2026-01-30 16:24:07+00:00,1911539435,dainalsk12,
2026-01-30 15:27:26+00:00,5413882761,,"justru keknya jadi sentimen positif deh,"
2026-01-30 14:55:14+00:00,6551758357,Akunku69,Kita naro duit di org ga dikenal kah?😁
2026-01-30 14:53:15+00:00,6551758357,Akunku69,"Setelah dirut bei dan ketua ojk keluar, apakah senin akan nyungsep lagi??? 😅😅😅"
2026-01-30 14:29:47+00:00,8168395017,,"Karna kalau terjadi cresh, pasti yg pulih duluan saham² perbankan"
2026-01-30 14:24:14+00:00,8168395017,,Bakal di hold garis keras bang😁
2026-01-30 14:22:27+00:00,8321171244,,"ngiler banget, kemarin udah gaada cash on hand lagi buat serok serok jdi ku biarkan aja 😂"
2026-01-30 14:21:19+00:00,8168395017,,
2026-01-30 14:19:59+00:00,8168395017,,Hasil Cresh kmarin serokin saham perbankan
2026-01-30 13:54:17+00:00,1636570491,,soalnya yang saya kumpulkan informasinya dewa bisa diliat paling cepet akhir 2026
2026-01-30 13:53:58+00:00,1298932848,christiannwid,Kyknya di balik XL ada some one wkwk
2026-01-30 13:53:26+00:00,1636570491,,bagus untuk jangka menengah gaaa
2026-01-30 13:51:29+00:00,8540635461,,Emang XL klo beli 1000lot 2000lot 20.000lot 🤔 kok aku curiga ya
2026-01-30 13:29:52+00:00,8366214090,,Selalu berdebu..
2026-01-30 13:29:37+00:00,8366214090,,Mudah2 an bisa bersih..apakah ibarat rumah yg di pinggir jalan raya (trauma sy dulu tinggal disitu) pagi di bersihin sore kotor lagi krn mobil lalu lalang 😊🙏
2026-01-30 13:24:30+00:00,8137154252,fahri_syahputra,"kalo asumsi saya, bulan lalu RI 1 abis ketemu ama para konglo. yg kita ga tau apa isi pembahasan nya di dalam rapat itu.
apa ini bisa jadi skenario prabowo dalam bentuk bersih” mafia mafia di pasar modal ?"
2026-01-30 13:22:38+00:00,6266361205,rndromg,Menarik sekali kebijakan yg diambil
2026-01-30 13:21:11+00:00,8366214090,,Pasti banyak kejanggalan dah…
2026-01-30 13:14:37+00:00,8540635461,,Nnti klo di sidak ada kejanggalan mereka tidak kesandung karna dah lepas dari tanggung jawab 🗿
