no,tick,price,chg,history,tx
1,DGIK,123,-18.54%,"167.064,539.485,192.219,119.843,-182.209",3.64%
2,GULA,446,2.76%,"1325.023,2100.225,-854.117,258.115,13112.232",3.43%
3,PTBA,2540,-1.93%,"36348.272,-11113.106,8355.142,-6410.504,65495.655",3.40%
4,ELSA,675,-4.93%,"-26503.666,30231.013,6988.561,55661.869,22317.593",3.24%
5,BNGA,1800,-2.70%,"-13112.139,2604.751,18241.817,6516.729,3606.218",2.87%
6,TRON,162,-28.95%,"630.988,-1413.723,2165.935,-531.556,2316.031",2.60%
7,SMDR,350,-9.33%,"124.49,1005.896,12873.08,6065.519,-3681.942",2.60%
8,MYOR,2360,0.85%,"1978.32,13881.863,-20770.481,28124.989,-5.359",2.38%
9,JPFA,2670,-5.99%,"116208.883,33082.863,-107446.37,15414.827,5182.674",2.20%
10,INOV,136,-15.53%,"-59.841,-475.596,320.235,2832.05,-352.826",2.14%
1,NCKL,1245,-18.89%,"-90122.853,99872.411,-3802.269,-16303.783,120898.298",1.93%
2,TRIN,1085,-7.66%,"3034.622,8262.201,9880.483,577.195,-3895.849",1.83%
3,AGII,1750,6.71%,"2554.209,6146.55,2580.973,-271.849,-2277.209",1.67%
4,ADMR,1850,-18.86%,"172739.45,-33947.464,-62308.722,-51379.305,96724.545",1.61%
5,BUVA,1055,-34.06%,"37561.327,-41736.579,178652.456,-13336.539,23882.98",1.46%
6,ASSA,1100,-10.93%,"-5079.191,7078.146,7910.029,4315.824,-9078.713",1.27%
7,ERAL,350,-3.31%,"3353.006,7209.385,1831.329,-423.61,-7505.738",1.22%
8,NASI,139,16.81%,"512.151,-503.759,335.505,2544.096,797.78",1.10%
9,ASGR,1730,7.45%,"-856.555,3448.835,677.222,-5009.138,3949.035",1.08%
10,KPIG,180,-30.23%,"7323.995,6060.709,-7504.674,-5107.423,4993.095",0.99%
1,HRTA,1900,-22.13%,"10567.484,-6788.151,-231.236,649.349,8545.832",0.52%
2,ASLI,468,-14.91%,"1772.53,1033.412,3881.463,-2329.536,-2841.153",0.37%
3,ISAT,2220,-7.50%,"-21987.582,6912.992,1034.764,-6336.161,25482.952",0.28%
4,MDKA,2730,-20.87%,"-134912.535,323904.028,-190536.259,-45118.463,86938.186",0.26%
5,SWID,138,6.15%,"-204.08,329.627,294.982,346.79,-512.969",0.10%
