no,tick,price,chg,history,tx
1,BMRI,4830,0.62%,"-1137427.586,-921192.041,629270.205,-530875.931,50733.228",2.19%
2,ISSP,444,2.30%,"-193.488,-582.796,-175.921,-119.612,83.43",1.99%
3,NELY,408,7.94%,"544.121,29.186,-66.728,243.952,27.318",1.84%
4,IPCC,1300,2.77%,"-155.555,-687.475,-318.044,-223.03,136.257",1.67%
5,BUVA,1190,12.80%,"-26259.621,-81048.481,-11428.59,-18610.567,47268.878",1.44%
6,AYAM,424,7.61%,"6160.973,1534.381,3770.094,-2250.731,460.05",1.41%
7,ENRG,1175,6.33%,"-57645.494,131.966,-3073.402,16651.759,4407.407",0.95%
8,JAWA,177,5.99%,"294.282,982.709,-48.142,-67.592,1.758",0.81%
9,INDY,3130,10.99%,"15770.421,28277.075,-21323.978,7022.667,1875.987",0.53%
10,LPKR,95,4.40%,"21959.729,2140.606,-34902.833,-1654.213,251.984",0.42%
