no,tick,price,chg,history,tx
1,ADRO,2130,2.40%,"-301088.331,-10195.939,-67434.36,91733.496,41458.419",8.08%
2,AGII,2160,-0.46%,"9095.34,849.826,13246.842,15044.497,2619.357",7.78%
3,BRMS,1010,6.88%,"172633.378,24852.87,106120.444,220804.768,106688.951",7.27%
4,JPFA,2550,2.00%,"73297.679,5710.989,32305.962,4154.277,9914.329",6.01%
5,ULTJ,1520,2.36%,"4141.835,-1739.902,-25320.129,-4831.905,1075.832",5.56%
6,AYAM,380,5.56%,"-855.159,-3979.362,-5071.895,-6908.72,1347.659",5.56%
7,PTBA,2580,1.18%,"-18821.075,65920.399,104656.457,-24117.927,6283.411",4.42%
8,BBNI,4520,-0.22%,"-323259.083,-438163.486,-339224.354,-191886.313,36374.484",3.99%
9,ENRG,1160,4.04%,"51330.65,-52527.949,-19842.028,41723.437,7789.706",3.49%
10,DKFT,825,2.48%,"24816.891,-1556.889,-2383.524,-5651.646,642.771",2.86%
