no,tick,price,chg,history,tx
1,BVIC,128,2.40%,"-217.602,-350.027,21.747,86.132,943.121",21.04%
2,BMRI,5000,-0.99%,"-212360.861,389686.987,223943.584,457926.139,366262.588",12.00%
3,INKP,9175,3.67%,"22231.757,-358.823,-16833.921,-13944.009,15524.953",10.08%
4,PTBA,2580,1.18%,"-15481.357,13875.013,39065.773,-20098.634,11480.452",9.20%
5,MYOR,2490,2.89%,"-4041.794,5576.279,-5773.23,-9724.96,9113.534",8.39%
6,DGIK,133,4.72%,"87.409,-15.616,-42.655,91.976,47.295",8.19%
7,MDKA,3040,6.67%,"41474.389,30299.853,53391.384,-106560.923,52975.401",7.55%
8,AMAN,246,14.95%,"170.668,353.848,779.734,-152.014,587.122",7.35%
9,FILM,6775,4.63%,"33890.53,-219.404,-7415.1,5018.538,15422.177",7.11%
10,TUGU,1250,1.21%,"887.972,-785.371,2539.51,-1313.748,1105.431",7.07%
1,BABP,57,1.79%,"550.904,33.855,-586.084,-171.191,61.269",6.90%
2,ADRO,2130,2.40%,"-62961.74,12451.781,-82232.821,21576.685,30947.265",6.86%
3,SMAR,5575,1.36%,"103.049,99.079,-365.681,782.478,525.022",6.67%
4,TINS,3160,4.29%,"-48102.916,36017.455,37316.559,-42925.971,21291.607",6.39%
5,ASLI,418,4.50%,"-1814.561,2117.118,849.036,-1531.1,1143.979",6.11%
6,TRIN,1065,0.47%,"-3887.367,-2052.947,-177.066,8357.398,4884.475",5.51%
7,GTRA,322,-4.17%,"28.097,-46.669,-413.778,-136.224,116.727",5.22%
8,AYLS,286,-2.05%,"604.197,21.645,970.129,235.351,136.048",4.62%
9,ANTM,3890,4.85%,"-202012.267,-89961.26,-89083.391,36638.793,88745.731",4.56%
10,BGTG,144,0.70%,"1303.641,1119.265,-1524.926,2306.581,1635.702",4.53%
1,BUVA,1130,22.16%,"94264.407,36477.135,9198.067,-1654.859,83476.917",4.44%
2,ELSA,720,2.13%,"-3046.509,-22866.509,14900.555,-14031.667,6465.036",4.37%
3,ERTX,228,4.59%,"92.303,167.902,-72.387,-2359.52,352.984",4.04%
4,JMAS,218,3.81%,"50.115,5.31,593.465,-78.005,37.786",3.71%
5,SMDR,374,2.19%,"6188.898,-2450.634,1844.144,-896.599,1533.897",3.56%
6,BRMS,1010,6.88%,"-135623.753,20620.97,60997.583,21580.046,44516.683",3.45%
7,EMAS,7500,15.38%,"-54890.594,57512.865,62837.577,34185.81,51414.904",3.03%
8,PGAS,2220,-0.45%,"-24710.961,19836.558,25029.276,50175.16,9366.136",2.60%
9,ENRG,1160,4.04%,"-9294.099,-42741.328,20279.77,8143.553,4093.312",2.09%
10,INCO,6275,2.87%,"-21398.41,76566.25,-46907.845,-17687.169,4294.735",1.96%
1,JPFA,2550,2.00%,"27026.64,-41550.656,-43967.431,-10732.717,134.698",0.09%
