"Tick","Price","%Chg(5)"
"INCO","6400","1.59"
"ASII","7400","7.64"
"JPFA","2780","7.34"
"PGAS","2040","3.29"
"AALI","7700","-2.53"
"ISAT","2260","4.63"
"NISP","1440","-0.35"
"VKTR","1200","21.21"
"TOTL","1135","9.66"
"UVCR","199","8.74"
"INKP","10000","3.36"
"IMPC","3390","-4.51"
"DATA","5125","-7.24"
"BBNI","4620","10.53"
"TLKM","3620","4.93"
"MDKA","3060","13.33"
"PTRO","12775","6.02"
"ERAL","338","1.2"
"UNTR","31500","0"
"WIIM","1805","0.28"
"MNCN","282","-2.08"
"DSSA","114075","10.51"
"ANTM","4000","10.19"
"ENRG","1590","-4.22"
"ADRO","2170","3.33"
"PTPS","204","5.15"
"KEEN","1030","0"
"ITIC","388","2.11"
"BUVA","1840","6.98"
"BRMS","1230","0"
"HRUM","1170","0.43"
"UNVR","2330","-11.07"
"EMAS","5500","2.8"
"SMGA","122","0.83"
"ASLC","93","-4.12"
"MITI","410","-0.49"
"TINS","3790","8.6"
"FUTR","640","-1.54"
"LAJU","76","0"
"SMBR","300","-3.23"
"MBSS","2730","-15.74"
"KIJA","300","-15.25"
"NICE","448","0.45"
"NIKL","410","-3.76"
"ESSA","675","8.87"
"GPRA","135","-2.88"
"BMRI","5000","5.04"
"DAAZ","3530","30.26"
