"Tick","Price","%Chg(5)"
"MORA","13425","-3.07"
"DRMA","1045","-0.95"
"MAPA","665","7.26"
"HMSP","810","3.85"
"MYOR","2280","5.07"
"IMPC","3060","-13.8"
"ALII","785","-13.74"
"JPFA","2750","-6.14"
"BABP","58","-7.94"
"AADI","7700","3.7"
"ADMR","2080","4"
"PGAS","2120","1.44"
"ESTA","306","-18.62"
"NIKL","388","-4.43"
"ENRG","1420","-8.39"
"KPIG","218","-20.44"
"VKTR","1105","-9.43"
"FOLK","695","-25.27"
"INTP","6950","0.36"
"ASGR","1490","16.86"
"INKP","9325","-7.44"
"SILO","2600","-1.89"
"SSTM","2930","-21.24"
"BGTG","127","-5.22"
"ASSA","1125","-2.6"
"ISAT","2200","-1.35"
"AGII","1840","15"
"ELSA","635","17.59"
"GULA","426","9.79"
"TUGU","1115","-3.46"
"INDX","165","3.77"
"ASLI","500","-22.48"
"INCO","6375","-1.16"
"ADRO","2210","-2.21"
"TKIM","7575","-5.31"
"HRUM","1110","-6.33"
"LPKR","99","1.02"
"SMGA","112","-4.27"
"ESSA","645","-3.01"
"SRTG","1810","1.12"
"GTRA","342","-1.72"
"ERAL","350","4.17"
"BRMS","1105","-12.65"
"BVIC","121","-11.68"
"RMKO","1310","18.02"
"UVCR","168","-14.72"
"NASI","128","-0.78"
"NCKL","1395","-4.78"
