"Tick","Price","%Chg"
"MORA","13425","-14.9"
"ALII","785","-14.67"
"DRMA","1045","-3.24"
"MAPA","665","-2.21"
"FOLK","695","-14.72"
"MEDC","1515","-0.98"
"ADRO","2210","-3.49"
"SILO","2600","-1.89"
"HMSP","810","0"
"NIKL","388","-8.49"
"MDKA","3240","0.93"
"ASGR","1490","-3.25"
"PGAS","2120","-1.85"
"NCKL","1395","-3.79"
"SWID","114","-13.64"
"ELSA","635","-2.31"
"ASSA","1125","-6.64"
"TKIM","7575","-6.77"
"MYOR","2280","0.44"
"BVIC","121","-4.72"
"SSTM","2930","-10.67"
"INTP","6950","-0.71"
"ERAL","350","-2.78"
"BGTG","127","-8.63"
"JPFA","2750","-4.51"
"KETR","795","-9.14"
"AGII","1840","-5.64"
"INDX","165","3.77"
"KPIG","218","-11.38"
"GULA","426","-10.88"
"GTRA","342","-14.93"
"INKP","9325","-11.4"
"LPKR","99","-10"
"KOKA","236","-10.61"
"TUGU","1115","-5.51"
"RMKO","1310","-14.94"
"BNGA","1785","-1.65"
"BBNI","4440","-1.33"
"ISAT","2200","-10.57"
"ASLI","500","-6.54"
"ESSA","645","-9.79"
"SMDR","354","-9.69"
"CPRO","66","-8.33"
"JMAS","240","-14.89"
"UVCR","168","-11.58"
