"Tick","Price","%Chg"
"KPIG","218","-11.38"
"KETR","795","-9.14"
"MDKA","3240","0.93"
"NCKL","1395","-3.79"
"ADRO","2210","-3.49"
"PGAS","2120","-1.85"
"ASLI","500","-6.54"
"AADI","7700","-3.14"
"AGII","1840","-5.64"
"JPFA","2750","-4.51"
"HAIS","220","-9.84"
"ESSA","645","-9.79"
"AYAM","404","-11.4"
"SMGA","112","-8.2"
"MITI","360","-6.25"
"WIIM","1750","-3.31"
"CGAS","179","-9.14"
"KIJA","258","-7.86"
"IPCC","1270","-1.17"
"ASGR","1490","-3.25"
"ERAL","350","-2.78"
"PBSA","2010","-14.83"
"HRUM","1110","-8.64"
"INKP","9325","-11.4"
"GULA","426","-10.88"
"ENRG","1420","-14.97"
"BBNI","4440","-1.33"
"DAAZ","3750","-14.97"
"VKTR","1105","-14.67"
