"Tick","Price","%Chg(5)"
"WIIM","1670","-7.22"
"SILO","2800","11.55"
"LPPF","1895","1.61"
"IPCM","330","-4.07"
"NISP","1415","-3.08"
"MYOR","2210","0.91"
"HMSP","775","-4.91"
"WINS","540","8"
"AGII","2000","25.79"
"MAPA","680","5.43"
"NELY","406","-9.38"
"LIVE","260","-22.16"
"ASSA","1140","-4.2"
"INCO","6100","-6.51"
"BGTG","133","-2.21"
"TRIN","1075","-28.09"
"KIJA","224","-20"
"ULTJ","1475","-0.67"
"AYLS","218","-19.26"
"NASI","133","4.72"
"SMDR","350","-13.37"
"GULA","404","-6.91"
"INDY","3410","-7.84"
"PGAS","2080","-3.7"
"UANG","4450","-40.67"
"JPFA","2600","-9.72"
"ERAL","356","4.71"
"KPIG","197","-31.12"
"MORA","13150","-3.13"
"ENRG","1210","-20.39"
"TRUK","535","-10.08"
"MEDC","1505","-0.99"
"NCKL","1370","-5.19"
"ADMR","2100","-3.23"
"HRTA","2330","0.43"
"ADRO","2220","-5.53"
"CPRO","65","-10.96"
"ASGR","1560","-1.89"
"SRTG","1730","-9.66"
