"Tick","Price","%Chg"
"IPCM","336","1.82"
"WIIM","1825","9.28"
"BMRI","4820","4.1"
"NIKL","372","0.54"
"HMSP","820","5.81"
"AMMN","7600","6.29"
"NASI","142","6.77"
"GOTO","64","1.59"
"NISP","1440","1.77"
"KIJA","228","1.79"
"BAPA","91","4.6"
"MYOR","2310","4.52"
"BGTG","138","3.76"
"PART","121","6.14"
"JPFA","2770","6.54"
"PGAS","2120","1.92"
"AYAM","462","10"
"MAPA","700","2.94"
"SRTG","1765","2.02"
"ASSA","1190","4.39"
"TOTL","1025","0.49"
"ISAT","2230","-0.45"
"BRMS","1080","0.93"
"DAAZ","3730","11.01"
"AKRA","1260","4.56"
"AYLS","266","22.02"
"ASGR","1700","8.97"
"MDKA","3210","1.26"
"ANTM","4210","-2.55"
"INCO","6450","5.74"
"SILO","2760","-1.43"
