<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
8/21/2025,IHSG,7903.290,7952.592,7848.883,7890.715,2467158012
8/21/2025,IDX30,0.000,0.000,0.000,0.000,0
8/21/2025,IDX80,0.000,0.000,0.000,0.000,0
8/21/2025,AADI,6875,6950,6850,6850,6863500
8/21/2025,AALI,7400,7400,7250,7350,1643800
8/21/2025,ABBA,38,38,37,38,1736200
8/21/2025,ABDA,0,0,0,0,0
8/21/2025,ABMM,2970,3010,2970,3000,989800
8/21/2025,ACES,456,466,456,460,44021800
8/21/2025,ACESBQCV5A,2,3,2,2,572800
8/21/2025,ACESBQCX5B,16,16,14,14,58800
8/21/2025,ACESBQCZ5A,32,32,32,32,379200
8/21/2025,ACESDRCJ6A,17,17,17,17,205000
8/21/2025,ACESHDCZ5A,44,44,44,44,100
8/21/2025,ACESZPCJ6A,26,26,26,26,11500
8/21/2025,ACRO,75,99,73,99,352293600
8/21/2025,ACRO-W,7,10,7,10,77314300
8/21/2025,ACST,134,163,134,163,239320700
8/21/2025,ADCP,50,51,50,50,18836100
8/21/2025,ADES,13700,13925,13525,13550,38600
8/21/2025,ADHI,286,318,286,296,358321400
8/21/2025,ADMF,9150,9150,9100,9125,19600
8/21/2025,ADMG,134,140,128,138,2071600
8/21/2025,ADMR,1060,1060,1015,1020,16708400
8/21/2025,ADMRDRCJ6A,37,37,35,35,113200
8/21/2025,ADMRZPCH6A,57,57,55,55,401900
8/21/2025,ADRO,1810,1830,1780,1780,81542300
8/21/2025,ADROBQCU5A,9,9,8,8,20600
8/21/2025,ADROBQCZ5A,24,24,24,24,3082800
8/21/2025,ADRODRCJ6A,68,68,66,66,11500
8/21/2025,ADRODRCX5A,43,43,41,41,376200
8/21/2025,ADROHDCQ5A,0,0,0,0,0
8/21/2025,ADROHDCZ5A,65,65,65,65,6000
8/21/2025,ADROYUCZ5A,85,85,85,85,100
8/21/2025,ADROZPCF6A,0,0,0,0,0
8/21/2025,AEGS,50,53,48,53,21918800
8/21/2025,AGAR,242,244,234,236,164200
8/21/2025,AGII,900,910,885,885,651900
8/21/2025,AGRO,246,248,240,240,26827000
8/21/2025,AGRS,73,73,71,71,7875900
8/21/2025,AHAP,76,81,74,76,38804000
8/21/2025,AIMS,366,366,362,362,67200
8/21/2025,AISA,124,130,124,128,16204800
8/21/2025,AKKU,0,0,0,0,0
8/21/2025,AKPI,580,680,540,555,380300
8/21/2025,AKRA,1230,1255,1220,1225,19274600
8/21/2025,AKRABQCX5B,0,0,0,0,0
8/21/2025,AKRADRCX5A,37,37,37,37,100
8/21/2025,AKRAHDCH6A,0,0,0,0,0
8/21/2025,AKRAHDCQ5A,0,0,0,0,0
