Nama Waran,Nama Penerbit,Tipe,Bid Dasar (Rp),Harga Pelaksanaan (Rp),Rasio Pelaksanaan,Tanggal Kedaluwarsa,Sensitivitas Waran (Tick),Efek Pengungkit (x),Volatilitas Tersirat (%),Jarak Waktu Kedaluwarsa (hari),Delta (%),Premi (%),Theta (Rp),Nilai Intrinsik,Volume Bid ('00),Harga Bid (Rp),Harga Ask (Rp),Volume Ask ('00),Volume Transaksi ('00),Perubahan Harga (%)
AADIBQCQ6A,KISI,CALL,8625,9875,35.0000,31 Aug 26,2.2,1.9,127.0,199,64.6,47.8,-0.2340,14% OTM,0,82,0,0,0,+1.2
AADIDRCN6A,RHB,CALL,8625,9019,15.9703,2 Jul 26,1.1,3.2,75.7,139,58.2,22.5,-0.4048,5% OTM,50000,97,94,50000,502,+4.3
AADIHDCK6A,KGI,CALL,8625,7429,18.7740,11 May 26,1.0,3.3,74.0,87,74.2,8.6,-0.3634,14% ITM,19000,103,96,19000,107,+3.0
AADIYUCK6A,CGS,CALL,8625,7300,10.0000,28 May 26,1.1,2.0,143.0,104,73.6,21.3,-1.1084,15% ITM,5000,316,308,5000,0,+2.6
AADIZPCQ6A,Maybank,CALL,8625,8500,37.0000,31 Aug 26,2.3,3.2,58.6,199,64.0,18.3,-0.1188,1% ITM,0,46,0,0,0,+4.5
ACESBQCG6A,KISI,CALL,402,555,4.0000,27 Feb 26,19.9,10.1,117.0,14,10.0,39.1,-0.1469,38% OTM,0,1,0,0,0,0
ACESBQCK6A,KISI,CALL,402,595,4.0000,29 May 26,6.8,4.2,88.0,105,29.4,55.0,-0.0830,48% OTM,0,7,0,0,0,-12.5
ACESDRCJ6A,RHB,CALL,402,550,5.0000,23 Apr 26,10.9,6.1,75.3,69,22.8,40.5,-0.0613,37% OTM,0,3,0,0,25591,0
ACESHDCN6A,KGI,CALL,402,490,2.0000,14 Jul 26,2.0,3.0,88.1,151,49.9,38.3,-0.1662,22% OTM,0,33,0,0,0,-5.7
ACESZPCJ6A,Maybank,CALL,402,510,4.0000,30 Apr 26,5.9,4.9,81.1,76,34.1,33.8,-0.0961,27% OTM,0,7,0,0,11598,0
ACESZPCU6A,Maybank,CALL,402,410,4.0000,30 Sep 26,3.2,2.8,69.0,229,63.1,24.9,-0.0547,2% OTM,0,23,0,0,0,0
ADMRDRCH6A,RHB,CALL,1925,1800,2.0000,16 Mar 26,0.6,5.6,71.2,31,67.8,5.6,-1.2795,6% ITM,0,116,0,0,0,0
ADMRDRCJ6A,RHB,CALL,1925,1100,6.0000,23 Apr 26,1.2,2.2,66.1,69,98.4,1.1,-0.0673,43% ITM,0,141,0,0,6566,+0.7
ADMRHDCJ6A,KGI,CALL,1925,1122,4.0000,28 Apr 26,1.7,2.2,85.0,74,95.0,1.9,-0.1855,42% ITM,19000,210,97,13862,1062,+1.0
ADMRHDCQ6A,KGI,CALL,1925,1509,6.0000,13 Aug 26,1.5,2.3,77.3,181,78.7,12.1,-0.1738,22% ITM,0,108,0,0,0,0
ADMRYUCV6A,CGS,CALL,1925,1600,3.0000,22 Oct 26,1.6,1.9,99.5,251,76.0,23.6,-0.3808,17% ITM,0,260,0,0,0,+0.8
ADMRZPCH6A,Maybank,CALL,1925,1100,5.0000,31 Mar 26,1.0,2.2,93.4,46,97.0,1.0,-0.1412,43% ITM,0,169,0,0,257,+0.6
ADMRZPCQ6A,Maybank,CALL,1925,1500,7.0000,31 Aug 26,1.7,2.4,67.1,199,80.1,10.6,-0.1259,22% ITM,0,90,0,0,0,0
ADROBQCG6A,KISI,CALL,2210,1853,4.6334,27 Feb 26,0.5,5.1,82.1,14,88.4,1.2,-0.6129,16% ITM,21990,83,64,21990,234,+3.8
ADROBQCJ6A,KISI,CALL,2210,2205,4.6334,30 Apr 26,0.8,3.7,85.7,76,59.7,16.1,-0.5230,0% ITM,0,78,0,0,0,+2.6
ADROBQCN6A,KISI,CALL,2210,2317,5.5600,31 Jul 26,0.9,2.7,84.1,168,60.7,27.0,-0.2952,5% OTM,0,88,0,0,0,+2.3
ADRODRCJ6A,RHB,CALL,2210,1947,5.5620,23 Apr 26,0.8,3.5,80.3,69,72.0,8.7,-0.3856,12% ITM,0,82,0,0,395,+2.5
ADRODRCM6A,RHB,CALL,2210,2178,2.3175,10 Jun 26,0.4,3.0,85.6,117,62.9,19.4,-0.8397,1% ITM,0,199,0,0,0,+2.6
ADROHDCN6A,KGI,CALL,2210,2036,5.5622,14 Jul 26,0.8,2.6,84.3,151,68.7,18.3,-0.2921,8% ITM,0,104,0,0,0,+2.0
ADROHDPH6A,KGI,PUT,2210,1401,1.8541,2 Mar 26,2.2,4.7,182.3,17,-8.6,38.5,-2.1374,37% OTM,10000,22,103,10000,215,-8.3
