date,ticker,open,high,low,close,volume
2025-01-10,IHSG,7076.9,7121.63,7074.14,7088.87,166170500
2025-01-13,IHSG,7076.7,7089.57,6986.59,7016.88,149887800
2025-01-14,IHSG,7014.8,7042.33,6956.67,6956.67,151037100
2025-01-15,IHSG,6992.85,7084.56,6977.77,7079.56,173538400
2025-01-16,IHSG,7165.18,7190.61,7071.91,7107.52,144790100
2025-01-17,IHSG,7115.05,7178.81,7084.3,7154.66,197761000
2025-01-20,IHSG,7188.4,7201.61,7165.44,7170.74,183080100
2025-01-21,IHSG,7207.59,7221.73,7176.33,7181.82,176177100
2025-01-22,IHSG,7227.02,7267.49,7223.26,7257.13,146457400
2025-01-23,IHSG,7275.0,7324.63,7232.64,7232.64,142025900
2025-01-24,IHSG,7255.02,7261.45,7166.06,7166.06,122224300
2025-01-30,IHSG,7142.79,7150.29,7042.69,7073.48,156862200
2025-01-31,IHSG,7113.58,7174.75,7095.68,7109.2,125561900
2025-02-03,IHSG,7087.75,7089.7,6933.14,7030.06,135419500
2025-02-04,IHSG,7051.48,7125.94,7037.62,7073.46,250749100
2025-02-05,IHSG,7071.58,7079.46,7002.52,7024.23,247130700
2025-02-06,IHSG,7030.19,7033.62,6830.11,6875.54,170868800
2025-02-07,IHSG,6758.1,6769.78,6656.72,6742.58,152142600
2025-02-10,IHSG,6681.23,6713.95,6585.98,6648.14,153503000
2025-02-11,IHSG,6629.81,6658.23,6500.46,6531.99,146025200
2025-02-12,IHSG,6540.95,6645.78,6537.48,6645.78,141288200
2025-02-13,IHSG,6637.42,6647.1,6565.78,6613.57,126053300
2025-02-14,IHSG,6640.13,6679.4,6609.67,6638.46,121300000
2025-02-17,IHSG,6663.31,6830.88,6658.22,6830.88,136644900
2025-02-18,IHSG,6847.77,6908.7,6830.78,6873.55,158584300
2025-02-19,IHSG,6877.16,6886.92,6773.91,6794.87,159932500
2025-02-20,IHSG,6796.67,6836.72,6755.43,6788.04,168907900
2025-02-21,IHSG,6788.9,6814.87,6758.35,6803.0,131140300
2025-02-24,IHSG,6801.68,6818.79,6732.41,6749.6,156247700
2025-02-25,IHSG,6749.44,6772.65,6576.97,6587.09,194167900
2025-02-26,IHSG,6627.02,6682.87,6547.24,6606.18,135195100
2025-02-27,IHSG,6609.89,6626.26,6443.22,6485.45,156489700
2025-02-28,IHSG,6446.64,6447.88,6246.28,6270.6,196893700
2025-03-03,IHSG,6362.15,6570.95,6347.1,6519.66,170810200
2025-03-04,IHSG,6524.7,6528.97,6361.4,6380.4,149084200
2025-03-05,IHSG,6404.69,6570.82,6404.69,6531.4,143533500
2025-03-06,IHSG,6577.85,6667.89,6573.8,6617.85,138941500
2025-03-07,IHSG,6631.31,6682.94,6577.83,6636.0,198389400
2025-03-10,IHSG,6618.92,6629.44,6568.13,6598.21,153564400
2025-03-11,IHSG,6535.87,6567.58,6499.04,6545.85,150016300
2025-03-12,IHSG,6566.8,6665.04,6566.2,6665.04,139690400
2025-03-13,IHSG,6700.11,6707.39,6618.54,6647.42,139851000
2025-03-14,IHSG,6623.69,6632.08,6514.69,6515.63,122970500
2025-03-17,IHSG,6490.67,6557.41,6445.98,6471.95,126321100
2025-03-18,IHSG,6458.67,6465.22,6011.84,6223.39,233069600
2025-03-19,IHSG,6221.2,6332.73,6147.43,6311.66,126795800
2025-03-20,IHSG,6372.61,6446.89,6353.69,6381.67,146168800
2025-03-21,IHSG,6418.39,6426.17,6218.6,6258.18,190225100
2025-03-24,IHSG,6242.23,6269.9,5967.19,6161.22,124187900
2025-03-25,IHSG,6197.99,6265.3,6178.49,6235.62,111267000
2025-03-26,IHSG,6314.33,6489.15,6312.97,6472.36,159762700
2025-03-27,IHSG,6462.6,6510.62,6417.24,6510.62,121855500
2025-04-08,IHSG,5914.29,6036.55,5882.6,5996.14,184790800
2025-04-09,IHSG,5978.44,6092.41,5949.6,5967.99,150044400
2025-04-10,IHSG,6270.61,6310.83,6188.67,6254.02,181443500
2025-04-11,IHSG,6195.57,6298.78,6148.78,6262.23,117642700
2025-04-14,IHSG,6225.34,6404.07,6225.34,6368.52,149701700
2025-04-15,IHSG,6444.34,6497.53,6395.93,6441.68,147079600
2025-04-16,IHSG,6461.27,6469.6,6373.79,6400.05,142022700
2025-04-17,IHSG,6407.02,6438.27,6384.29,6438.27,131124200
2025-04-21,IHSG,6450.31,6472.54,6406.8,6445.97,108855100
2025-04-22,IHSG,6455.08,6538.32,6428.1,6538.27,150312500
2025-04-23,IHSG,6589.33,6642.92,6588.26,6634.38,184488000
2025-04-24,IHSG,6671.07,6697.9,6585.46,6613.48,159090300
2025-04-25,IHSG,6660.62,6683.36,6640.78,6678.92,169030400
2025-04-28,IHSG,6716.21,6738.35,6688.78,6722.97,164549400
2025-04-29,IHSG,6748.99,6763.89,6724.32,6749.08,193012300
2025-04-30,IHSG,6755.46,6791.25,6725.97,6766.79,210149800
2025-05-02,IHSG,6811.11,6818.28,6765.83,6815.73,183083600
