ticker,period,dividend,ex_date,payment_date
AADI,2025,538.08,18 Nov 25,27 Nov 25
AALI,2025,123.00,03 Oct 25,24 Oct 25
AALI,2024,184.00,08 May 25,28 May 25
AALI,2024,84.00,04 Oct 24,24 Oct 24
AALI,2023,165.00,03 May 24,22 May 24
AALI,2023,82.00,09 Oct 23,24 Oct 23
AALI,2022,319.00,13 Apr 23,04 May 23
AALI,2022,85.00,12 Oct 22,24 Oct 22
AALI,2021,359.00,25 Apr 22,13 May 22
AALI,2021,102.00,12 Oct 21,22 Oct 21
AALI,2020,153.00,23 Apr 21,10 May 21
ABBA,2026,-,-,-
ABDA,2021,81.51,07 Jun 22,24 Jun 22
ABDA,2020,67.00,17 Jun 21,09 Jul 21
ABMM,2024,153.00,07 May 25,28 May 25
ABMM,2023,295.00,28 May 24,14 Jun 24
ABMM,2022,400.00,22 May 23,09 Jun 23
ABMM,2021,267.00,23 May 22,10 Jun 22
ACES,2024,33.87,26 Jun 25,17 Jul 25
ACES,2023,33.50,20 Jun 24,05 Jul 24
ACES,2022,31.06,05 Jul 23,21 Jul 23
ACES,2021,20.59,17 Jun 22,08 Jul 22
ACES,2020,32.15,18 Jun 21,09 Jul 21
ACRO,2024,12.47,06 Jan 25,17 Jan 25
ACRO,2024,10.14,06 Jan 25,17 Jan 25
ACST,2026,-,-,-
ADCP,2021,1.17,07 Jul 22,29 Jul 22
ADES,2026,-,-,-
ADHI,2026,-,-,-
................................................
................................................
................................................
WOOD,2020,2.50,24 Aug 21,10 Sep 21
WOWS,2026,-,-,-
WSBP,2026,-,-,-
WSKT,2026,-,-,-
WTON,2024,0.75,13 Jun 25,04 Jul 25
WTON,2023,0.79,30 May 24,20 Jun 24
WTON,2022,3.75,19 May 23,09 Jun 23
WTON,2021,1.90,27 Apr 22,20 May 22
WTON,2020,2.94,09 Jun 21,30 Jun 21
YELO,2026,-,-,-
YOII,2026,-,-,-
YPAS,2026,-,-,-
YULE,2024,8.00,05 Jun 25,26 Jun 25
YUPI,2025,35.11,04 Dec 25,18 Dec 25
YUPI,2024,187.26,07 Jul 25,11 Jul 25
ZATA,2024,0.05,02 Jun 25,20 Jun 25
ZBRA,2026,-,-,-
ZINC,2026,-,-,-
ZONE,2023,16.15,19 Jun 24,09 Jul 24
ZONE,2022,20.94,22 Jun 23,13 Jul 23
ZONE,2021,10.65,06 Jun 22,16 Jun 22
ZYRX,2024,1.71,17 Jun 25,10 Jul 25
ZYRX,2023,3.70,24 Jun 24,11 Jul 24
ZYRX,2022,8.85,09 Jun 23,27 Jun 23
ZYRX,2021,7.85,10 Jun 22,01 Jul 22
