No,Halaman,Tanggal,Waktu,TanggalWaktu,KodeEmiten,NamaEmiten,Judul,JudulFull,LinkUtama,JumlahLampiran,LampiranData,ScrapedAt
1,1,2026-02-10,23:01:25,2026-02-10 23:01:25,BSML,BSML,Laporan Bulanan Registrasi Pemegang Efek,Laporan Bulanan Registrasi Pemegang Efek [BSML ],https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/d2aa0a0f23_c289dfa747.pdf,0,[],2026-02-10T23:32:12.812146
2,1,2026-02-10,23:01:18,2026-02-10 23:01:18,DADA,DADA,Laporan Bulanan Registrasi Pemegang Efek,Laporan Bulanan Registrasi Pemegang Efek [DADA ],https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/26a0d53583_0857dd23dd.pdf,2,"[{""text"": ""20260210_DADA_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026816_lamp1.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/5029fd1020_b7884ca6e5.pdf"", ""filename"": ""20260210_DADA_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026816_lamp1.pdf""}, {""text"": ""20260210_DADA_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026816_lamp2.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/61b824c60a_6522fda303.pdf"", ""filename"": ""20260210_DADA_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026816_lamp2.pdf""}]",2026-02-10T23:32:12.879483
3,1,2026-02-10,22:48:25,2026-02-10 22:48:25,BABY,BABY,Penyampaian Informasi rencana Transaksi material - Rencana Transaksi Material Dengan Persetujuan RUPS,Penyampaian Informasi rencana Transaksi material - Rencana Transaksi Material Dengan Persetujuan RUPS [BABY ],https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/76123c64df_f834484774.pdf,2,"[{""text"": ""20260210_BABY_Perubahan dan//atau Tambahan Keterbukaan Informasi terkait Aksi Korporasi_32026817_lamp2.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/952d3653bf_3dbce4fbd4.pdf"", ""filename"": ""20260210_BABY_Perubahan dan//atau Tambahan Keterbukaan Informasi terkait Aksi Korporasi_32026817_lamp2.pdf""}, {""text"": ""20260210_BABY_Perubahan dan//atau Tambahan Keterbukaan Informasi terkait Aksi Korporasi_32026817_lamp1.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/bb8d9af721_bbd339aea4.pdf"", ""filename"": ""20260210_BABY_Perubahan dan//atau Tambahan Keterbukaan Informasi terkait Aksi Korporasi_32026817_lamp1.pdf""}]",2026-02-10T23:32:12.946055
4,1,2026-02-10,22:44:41,2026-02-10 22:44:41,RAFI,RAFI,Laporan Bulanan Registrasi Pemegang Efek,Laporan Bulanan Registrasi Pemegang Efek [RAFI ],https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/e22dd57b68_bfc51dc547.pdf,1,"[{""text"": ""20260210_RAFI_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026811_lamp1.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/9a7222847b_92470b3ebc.pdf"", ""filename"": ""20260210_RAFI_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026811_lamp1.pdf""}]",2026-02-10T23:32:13.002241
5,1,2026-02-10,22:17:24,2026-02-10 22:17:24,BEER,BEER,Laporan Bulanan Registrasi Pemegang Efek,Laporan Bulanan Registrasi Pemegang Efek [BEER ],https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/ceb2efc893_8a7844fc99.pdf,1,"[{""text"": ""20260210_BEER_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026809_lamp1.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/ec98f6e456_81de15d9f4.pdf"", ""filename"": ""20260210_BEER_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026809_lamp1.pdf""}]",2026-02-10T23:32:13.055382
6,1,2026-02-10,22:17:14,2026-02-10 22:17:14,BUKA,BUKA,Penjelasan atas Permintaan Penjelasan Bursa,Penjelasan atas Permintaan Penjelasan Bursa [BUKA ],https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/ce23b56c93_edea120763.pdf,1,"[{""text"": ""20260210_BUKA_Tanggapan atas Permintaan Penjelasan Bursa_32026812_lamp1.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/e7baa96499_868c57893c.pdf"", ""filename"": ""20260210_BUKA_Tanggapan atas Permintaan Penjelasan Bursa_32026812_lamp1.pdf""}]",2026-02-10T23:32:13.092776
7,1,2026-02-10,22:12:32,2026-02-10 22:12:32,SQMI,SQMI,Laporan Bulanan Registrasi Pemegang Efek,Laporan Bulanan Registrasi Pemegang Efek [SQMI ],https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/71def76a3b_381a253f80.pdf,1,"[{""text"": ""20260205_SQMI_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32025124_lamp1.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/ce13453414_7aac132312.pdf"", ""filename"": ""20260205_SQMI_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32025124_lamp1.pdf""}]",2026-02-10T23:32:13.132127
8,1,2026-02-10,22:06:48,2026-02-10 22:06:48,BTPN,BTPN,Laporan Bulanan Registrasi Pemegang Efek (KOREKSI),Laporan Bulanan Registrasi Pemegang Efek (KOREKSI) [BTPN ],https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/559b616112_3756c76e3b.pdf,2,"[{""text"": ""20260210_BTPN_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026736_lamp1.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/731f4edb18_932ad280e0.pdf"", ""filename"": ""20260210_BTPN_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026736_lamp1.pdf""}, {""text"": ""20260210_BTPN_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026736_lamp2.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/dd0f27ce4f_b3a73507f9.pdf"", ""filename"": ""20260210_BTPN_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026736_lamp2.pdf""}]",2026-02-10T23:32:13.201211
9,1,2026-02-10,21:41:07,2026-02-10 21:41:07,MEDS,MEDS,Transaksi Jual Beli Saham,Transaksi Jual Beli Saham [MEDS ],https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/9ac35ce3aa_95e22f441c.pdf,1,"[{""text"": ""20260210_MEDS_Laporan Informasi dan Fakta Material_32026656_lamp1.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/9f9148e619_e0c5ec692f.pdf"", ""filename"": ""20260210_MEDS_Laporan Informasi dan Fakta Material_32026656_lamp1.pdf""}]",2026-02-10T23:32:13.238507
10,1,2026-02-10,21:21:27,2026-02-10 21:21:27,PTIS,PTIS,Laporan Bulanan Registrasi Pemegang Efek,Laporan Bulanan Registrasi Pemegang Efek [PTIS ],https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/fa06ea3e49_6245537662.pdf,1,"[{""text"": ""20260210_PTIS_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026808_lamp1.pdf"", ""link"": ""https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202602/abe1cc1abe_b66f827abb.pdf"", ""filename"": ""20260210_PTIS_Laporan Bulanan Registrasi Pemegang Efek//Perubahan Struktur Pemegang Saham_32026808_lamp1.pdf""}]",2026-02-10T23:32:13.272502
