no,ticker,title,date,source,high_priority_hits,medium_priority_hits,fundamental_hits,red_flags,urgency_score,total_score,category,action,key_findings
511,-,"ELPI Umumkan Rencana Rights Issue, Bakal Terbitkan hingga 2,03 Miliar Saham Baru",2026-01-30,IDX Channel,5,1,0,0,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
68,-,"Akuisisi Emway, BABY Gelar Rights Issue Pakai Skema Inbreng",2026-01-22,IDX Channel,5,1,0,0,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
249,-,"TRUE Tunda Private Placement, Buka Opsi Cari Aksi Korporasi Lain",2026-01-26,IDX Channel,5,2,0,1,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
3,-,"Asuransi Digital (YOII) Gelar Rights Issue, Terbitkan 684 Juta Saham",2026-01-21,IDX Channel,5,1,0,0,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
95,-,"YOII Umumkan Rights Issue demi Penuhi Aturan Modal OJK, RUPSLB Digelar Maret 202...",2026-01-22,IDX Channel,5,0,0,0,10,25,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
28,-,"FOLK Resmi Tuntaskan Private Placement, Raih Dana Rp57 Miliar",2026-01-21,IDX Channel,5,1,0,1,10,25,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
104,-,"IRSX Investasi Rp500 M, Gandeng Visinema & MVP Buat Film",2026-01-22,,4,1,0,0,10,24,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
583,-,"SMKM Siap Caplok LSO Holdings, Nilai Akuisisi Capai Rp172,25 Miliar",2026-01-31,IDX Channel,4,0,0,0,10,22,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
406,-,"TBIG Incar Dana Rp1,27 Triliun dari Obligasi Berkelanjutan dan Sukuk Ijarah",2026-01-28,,3,1,0,0,10,21,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, surat utang, penerbitan obligasi"
116,-,Tjokro Group Bangun Holding Strategis Bernilai Rp900 Miliar,2026-01-22,,2,2,0,0,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
472,-,"Respons MSCI, OJK Siapkan Aturan Baru Free Float Saham",2026-01-29,,2,2,0,0,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"free float, penggabungan"
215,-,Dapen Bank Jateng Terus Lego Saham Adbinsure (YOII) Jelang Rights Issue,2026-01-25,IDX Channel,3,0,0,0,10,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, divestasi, akuisisi"
177,-,"Obligasi Berkelanjutan TOBA Tahap II-2026, Targetkan Dana Rp500 Miliar",2026-01-23,,3,0,0,0,10,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, surat utang, penerbitan obligasi"
456,-,Saiko Consultancy Batal Akuisisi Saham Soraya Berjaya (SPRE),2026-01-29,IDX Channel,3,0,0,0,10,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi, pengambilalihan"
117,-,"INET Siapkan Obligasi dan Sukuk Rp1 Triliun, Fokus Perluas Jaringan Internet hin...",2026-01-22,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, penerbitan obligasi"
279,-,"Rekomendasi Saham Uptrend Pekan ini: AADI, PGAS, hingga EMAS Layak Dicermati",2026-01-26,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"free float, obligasi"
208,-,"Obligasi BUMI Segera Terbit, Seperti ini Targetnya",2026-01-24,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, penerbitan obligasi"
373,-,"Produsen Bir Bintang (MLBI) Ambil Alih 99,9 Persen Saham Karya Distilindo",2026-01-28,IDX Channel,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
55,-,"MEJA Siap Akuisisi Rp1,6 Triliun, Ekspansi ke Sektor Energi",2026-01-21,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
586,-,"Tambah Armada Crew Boat, ELPI Akuisisi Kapal Senilai Rp38 Miliar",2026-01-31,IDX Channel,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
423,-,Rumor CIMB Niaga (BNGA) Jajaki IPO Unit Syariah pada 2028,2026-01-29,IDX Channel,1,2,0,0,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,merger
194,-,"Mau Dual Listing, Merdeka Gold (EMAS) Dikabarkan Jajaki IPO di Hong Kong",2026-01-24,IDX Channel,1,2,0,0,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,merger
293,-,"Berkat Transformasi Digital, Kinerja Operasional IPCC Tumbuh 15 Persen Sepanjang...",2026-01-27,IDX Channel,1,2,0,0,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,merger
328,-,"Diisukan Dapat Modal USD250 Juta, TPIA Masih Jalan di Tempat",2026-01-27,,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"merger, akuisisi"
166,-,"Investor Baru Negoisasi Akuisisi 59,24 Persen Saham DPUM",2026-01-23,,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
237,-,Pengendali Baru BOGA Tawarkan Harga MTO Rp529 per Saham,2026-01-26,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
272,-,"Punya Pengendali Baru, Saham ASLI Malah Anjlok",2026-01-26,,2,2,0,2,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
210,-,Wall Street Pekan Depan Dibayangi Laporan Keuangan dan Arah Suku Bunga Acuan,2026-01-25,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, akuisisi"
252,-,Indonet (EDGE) Kembali Setor Modal Anak Usaha Rp283 Miliar untuk Bangun Data Cen...,2026-01-26,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"investor strategis, akuisisi"
244,-,"Tutup Defisit APBN, Kemenkeu Bidik Rp25 Triliun dari Penjualan ORI029",2026-01-26,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, surat utang"
584,-,"Deretan Saham Top Gainers Pekan Ini, ELPI Melonjak 69,28 Persen",2026-01-31,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"free float, akuisisi"
566,-,Indonesia Crypto Outlook 2026:Literasi dan Kolaborasi Industri,2026-01-30,,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"strategic investor, akuisisi"
157,-,Rama Indonesia Berencana Caplok 59 Persen Saham Dua Putra (DPUM),2026-01-23,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
437,-,"BEI Bakal Revisi Aturan Free Float Jadi 15 Persen, Berlaku Bulan Depan",2026-01-29,IDX Channel,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,free float
386,-,Emerging vs Frontier Market: ini Perbedaan Status Indonesia di MSCI,2026-01-28,,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,free float
403,-,"IHSG Rontok Bersamaan Hasil MSCI, BEI Buka Suara",2026-01-28,,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,free float
557,-,Goldman Sachs Turunkan Rating Saham RI Usai Pengumuman MSCI,2026-01-30,,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,free float
563,-,Grup Sinarmas (DSSA) Keluarkan Jurus Stock Split,2026-01-30,,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,stock split
39,-,"UFC Masuk Vidio–NEX, EMTK Perkuat Mesin Konten Premium 2026",2026-01-21,,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,akuisisi
46,-,"Di Balik Pencabutan Izin Martabe, Ada Ancaman ke Laba dan Kas UNTR",2026-01-21,,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,akuisisi
479,-,"Reli Emas Menguat, Sejumlah Saham Tambang Diproyeksikan Ikut Terangkat",2026-01-29,,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,obligasi
538,-,"Pasar Bergejolak, Hermina (HEAL) Siapkan Buyback Rp200 Miliar",2026-01-30,IDX Channel,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,tambahan modal
471,-,"OJK Siapkan Aturan Free Float 15 Persen, Intip Daftar Saham yang Masih di Bawah ...",2026-01-29,,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,free float
76,-,Daaz Bara Lestari (DAAZ) Milik Siapa? Simak Profil Emiten dan Sosok Pengendaliny...,2026-01-22,IDX Channel,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,akuisisi
350,-,Dirut BEI Sebut IHSG Turun 8 Persen Akibat Investor Panic Selling Pasca Pengumum...,2026-01-28,IDX Channel,1,1,0,0,10,15,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,free float
