iter	Logloss
0	0.686277534
1	0.6796966888
2	0.6736764082
3	0.6685851347
4	0.6632351742
5	0.6581314826
6	0.653565437
7	0.6492655089
8	0.6451865006
9	0.6415292656
10	0.6380925068
11	0.6347805627
12	0.6318248288
13	0.6293785393
14	0.626445565
15	0.6240298683
16	0.6218032747
17	0.6194708563
18	0.6175000089
19	0.6154864261
20	0.6136082124
21	0.6119205031
22	0.6100282663
23	0.608308838
24	0.6067429852
25	0.6053446063
26	0.6040390653
27	0.6026501411
28	0.6014570327
29	0.6001622768
30	0.5990195734
31	0.597928984
32	0.5971590723
33	0.5961053303
34	0.5953009965
35	0.594397396
36	0.5935665208
37	0.5927485122
38	0.5919372968
39	0.5911078904
40	0.590502207
41	0.5899348605
42	0.5892832231
43	0.5886675232
44	0.5880865196
45	0.5875607792
46	0.5870239161
47	0.5864349317
48	0.5859597755
49	0.5855407973
50	0.5850233264
51	0.5846463844
52	0.5842389401
53	0.5837427642
54	0.5834273131
55	0.5830947478
56	0.5827360829
57	0.5824188817
58	0.5820527381
59	0.5817566128
60	0.5814420273
61	0.5811748342
62	0.5809131097
63	0.5806391841
64	0.5803235064
65	0.5800569332
66	0.5797620274
67	0.579521268
68	0.5792789321
69	0.5790161722
70	0.5787859056
71	0.5785796477
72	0.5782359357
73	0.5779594624
74	0.5777651073
75	0.5776372002
76	0.5774724571
77	0.5772347845
78	0.5770188166
79	0.5768388379
80	0.5766932695
81	0.5764373247
82	0.5762646843
83	0.5760996659
84	0.5759266598
85	0.5757625096
86	0.5755650526
87	0.5754430261
88	0.5753153734
89	0.5752018629
90	0.575055796
91	0.5749179788
92	0.5747727182
93	0.5746586677
94	0.5745456407
95	0.574324241
96	0.5741901874
97	0.574001886
98	0.573919638
99	0.57373416
100	0.5735548635
101	0.5734215769
102	0.5732556137
103	0.5731595376
104	0.5730904792
105	0.5729640462
106	0.5728667575
107	0.5727687322
108	0.5726330238
109	0.5725274255
110	0.5724179743
111	0.5723228472
112	0.5721860793
113	0.5719866085
114	0.5718267248
115	0.5717596323
116	0.5716560552
117	0.5715655955
118	0.5714444121
119	0.5712401294
120	0.5711654155
121	0.5710678615
122	0.571009693
123	0.5708997788
124	0.5707555268
125	0.5706251791
126	0.5705562231
127	0.5704821755
128	0.5704045996
129	0.570315193
130	0.5702622448
131	0.570178048
132	0.5701242699
133	0.5699621732
134	0.5698676508
135	0.5698391708
136	0.569781152
137	0.5696601203
138	0.5696141062
139	0.5694640895
140	0.5693148899
141	0.5692308906
142	0.5691755362
143	0.5691085671
144	0.5690068664
145	0.5689092682
146	0.568853167
147	0.5687022341
148	0.5686141848
149	0.5685608655
150	0.568490809
151	0.5684473919
152	0.5683403955
153	0.568274696
154	0.5682034393
155	0.5681167185
156	0.5680744491
157	0.5680126845
158	0.56794515
159	0.5678773673
160	0.5678109725
161	0.5677453156
162	0.5677021047
163	0.5676291386
164	0.5675602636
165	0.5674797314
166	0.5674059653
167	0.5673975365
168	0.5673480606
169	0.5673086147
170	0.5672317281
171	0.5671717044
172	0.5670800668
173	0.567080062
174	0.5670175913
175	0.5669810221
176	0.5669308153
177	0.5668553196
178	0.5667861058
179	0.566723226
180	0.5666793973
181	0.5665911444
182	0.5665417218
183	0.5665084255
184	0.5664386693
185	0.5663892081
186	0.5663185014
187	0.5662561871
188	0.5661605505
189	0.5661161423
190	0.5660721209
191	0.566009424
192	0.56594779
193	0.5659396888
194	0.5658186023
195	0.5657533573
196	0.5656963834
197	0.5656261473
198	0.5655736874
199	0.5655099844
200	0.5654367301
201	0.5653253754
202	0.5653127152
203	0.5652723574
204	0.5651843998
205	0.5651537192
206	0.5651147851
207	0.5650618222
208	0.5650129149
209	0.5649346949
210	0.5648807527
211	0.5648433997
212	0.5648289584
213	0.5648109758
214	0.5647754334
215	0.5646931804
216	0.5646385282
217	0.5646163496
218	0.5645479398
219	0.5645154426
220	0.5644568581
221	0.5643848711
222	0.5643396295
223	0.5642555357
224	0.5641673542
225	0.5641353652
226	0.5640574468
227	0.564012171
228	0.5639479726
229	0.5638900914
230	0.5638490222
231	0.5637956495
232	0.5637406929
233	0.5636776715
234	0.563599888
235	0.5635433686
236	0.5634851406
237	0.563432457
238	0.5633716846
239	0.5633301703
240	0.5632979505
241	0.563247848
242	0.5631586833
243	0.5631094074
244	0.5630189666
245	0.5629837975
246	0.5629195321
247	0.5629195316
248	0.5628925921
249	0.5628425794
250	0.5628133337
251	0.5627286701
252	0.5626504521
253	0.5626134162
254	0.562553304
255	0.562495343
256	0.5624133679
257	0.5623904025
258	0.5623086503
259	0.5622633474
260	0.5622230969
261	0.5621518566
262	0.5621105907
263	0.562009564
264	0.5619495358
265	0.5619297132
266	0.5618601298
267	0.561779954
268	0.5617533459
269	0.5616850981
270	0.5616466589
271	0.5615834534
272	0.5615788008
273	0.561529628
274	0.561498963
275	0.5614162853
276	0.561364014
277	0.5613366709
278	0.5612803766
279	0.5612391743
280	0.5611784905
281	0.5611418136
282	0.5610964487
283	0.5610815228
284	0.5610228356
285	0.5609974893
286	0.5609497907
287	0.5608688255
288	0.5608189993
289	0.5607512244
290	0.5607200049
291	0.5606822715
292	0.560614128
293	0.5605361926
294	0.5604767338
295	0.5604276688
296	0.5603992102
297	0.5603220838
298	0.5602878759
299	0.5602467728
300	0.5602282554
301	0.5601964749
302	0.5601647524
303	0.5601172662
304	0.5600828222
305	0.5600006083
306	0.559941006
307	0.5598894132
308	0.5598329045
309	0.5597923632
310	0.5597411425
311	0.5597055982
312	0.5596715857
313	0.5596522847
314	0.5596339263
315	0.5595669261
316	0.5595183253
317	0.5594580404
318	0.5594122788
319	0.5593827454
320	0.5593042549
321	0.5592541539
322	0.5591998199
323	0.5591463011
324	0.5590835547
325	0.559066133
326	0.5589955743
327	0.5589907145
328	0.5589332854
329	0.5588812834
330	0.5588285094
331	0.5587991026
332	0.558772362
333	0.5587413853
334	0.5586726004
335	0.5586276883
336	0.5585605563
337	0.5584715473
338	0.5584205806
339	0.5583485884
340	0.5582814674
341	0.5582168041
342	0.558164371
343	0.5581112555
344	0.5580895223
345	0.5580645311
346	0.5580229855
347	0.5579432698
348	0.5578847076
349	0.5578416625
350	0.55778774
351	0.5577479773
352	0.5576611273
353	0.5575882314
354	0.5575259612
355	0.5574685852
356	0.5574384944
357	0.5573584079
358	0.557296725
359	0.557266088
360	0.5572125818
361	0.5571443119
362	0.5571189888
363	0.5570541769
364	0.5569950245
365	0.5569340171
366	0.5568913961
367	0.5568365044
368	0.5567979502
369	0.5567546121
370	0.5566729568
371	0.5566237704
372	0.5565764772
373	0.556532398
374	0.5564772486
375	0.5563837291
376	0.5563078625
377	0.5562538531
378	0.5561968905
379	0.5561227792
380	0.5560798137
381	0.5560161577
382	0.5559319632
383	0.5558660371
384	0.5557935389
385	0.5557374144
386	0.555669775
387	0.5556251036
388	0.5555575004
389	0.555508929
390	0.5554678107
391	0.5554072784
392	0.5553302575
393	0.5552475702
394	0.5552038252
395	0.5551890275
396	0.5551366943
397	0.5550781304
398	0.5550222246
399	0.5549730996
400	0.5549293288
401	0.5548973242
402	0.5548472538
403	0.554783145
404	0.5547394254
405	0.5547180376
