iter	Passed	Remaining
0	140	140612
1	201	100791
2	249	82826
3	296	73756
4	353	70389
5	405	67196
6	456	64716
7	499	61932
8	546	60155
9	593	58783
10	639	57488
11	688	56655
12	733	55656
13	795	56009
14	859	56448
15	904	55635
16	954	55185
17	1008	55030
18	1060	54746
19	1126	55174
20	1180	55034
21	1226	54538
22	1267	53841
23	1306	53144
24	1346	52496
25	1390	52074
26	1436	51766
27	1481	51433
28	1529	51199
29	1566	50662
30	1604	50150
31	1643	49719
32	1682	49308
33	1724	49004
34	1768	48751
35	1811	48514
36	1849	48147
37	1889	47844
38	1934	47675
39	1975	47415
40	2018	47214
41	2058	46957
42	2097	46678
43	2138	46460
44	2179	46257
45	2221	46069
46	2261	45864
47	2301	45637
48	2341	45449
49	2379	45215
50	2423	45092
51	2466	44968
52	2508	44825
53	2557	44799
54	2601	44695
55	2642	44549
56	2684	44405
57	2722	44222
58	2765	44101
59	2806	43975
60	2843	43775
61	2882	43610
62	2921	43452
63	2959	43275
64	2998	43128
65	3045	43099
66	3084	42949
67	3123	42815
68	3164	42701
69	3209	42640
70	3249	42515
71	3285	42347
72	3326	42235
73	3361	42069
74	3403	41974
75	3428	41688
76	3467	41567
77	3511	41503
78	3552	41421
79	3590	41288
80	3631	41202
81	3674	41131
82	3713	41032
83	3756	40959
84	3794	40848
85	3836	40774
86	3876	40684
87	3916	40584
88	3950	40435
89	3987	40317
90	4027	40226
91	4064	40110
92	4106	40048
93	4147	39978
94	4187	39889
95	4229	39823
96	4268	39740
97	4312	39691
98	4343	39525
99	4384	39456
100	4424	39381
101	4468	39338
102	4516	39336
103	4546	39167
104	4603	39242
105	4675	39434
106	4729	39470
107	4786	39536
108	4832	39498
109	4883	39513
110	4929	39482
111	4964	39359
112	5002	39266
113	5047	39230
114	5087	39152
115	5177	39455
116	5240	39552
117	5294	39576
118	5337	39517
119	5377	39437
120	5410	39306
121	5451	39233
122	5493	39170
123	5533	39092
124	5570	38994
125	5614	38943
126	5656	38880
127	5698	38820
128	5741	38766
129	5783	38707
130	5816	38581
131	5857	38515
132	5900	38464
133	5940	38390
134	5978	38308
135	6017	38226
136	6062	38189
137	6106	38141
138	6149	38089
139	6190	38024
140	6240	38020
141	6281	37952
142	6324	37900
143	6367	37853
144	6405	37770
145	6445	37704
146	6487	37646
147	6530	37595
148	6570	37528
149	6611	37466
150	6655	37420
151	6694	37346
152	6732	37271
153	6773	37210
154	6815	37153
155	6855	37089
156	6893	37013
157	6933	36950
158	6974	36888
159	7015	36833
160	7057	36780
161	7102	36742
162	7140	36663
163	7181	36609
164	7223	36553
165	7261	36484
166	7304	36436
167	7320	36252
168	7356	36175
169	7398	36123
170	7442	36081
171	7490	36057
172	7535	36021
173	7554	35864
174	7590	35785
175	7634	35741
176	7675	35689
177	7717	35640
178	7757	35581
179	7798	35525
180	7838	35467
181	7876	35400
182	7918	35350
183	7959	35299
184	8001	35251
185	8043	35199
186	8084	35149
187	8123	35086
188	8166	35043
189	8209	34996
190	8250	34945
191	8290	34888
192	8331	34838
193	8370	34777
194	8413	34731
195	8451	34669
196	8492	34615
197	8530	34552
198	8572	34507
199	8617	34471
200	8657	34415
201	8734	34505
202	8759	34392
203	8798	34330
204	8843	34296
205	8882	34236
206	8923	34184
207	8961	34123
208	9002	34072
209	9046	34032
210	9094	34007
211	9146	33998
212	9191	33959
213	9233	33913
214	9274	33863
215	9314	33807
216	9353	33749
217	9393	33696
218	9444	33680
219	9489	33644
220	9537	33618
221	9588	33601
222	9632	33564
223	9679	33533
224	9720	33483
225	9763	33438
226	9802	33378
227	9864	33402
228	9917	33390
229	9965	33362
230	10014	33338
231	10062	33309
232	10112	33289
233	10168	33286
234	10220	33271
235	10275	33265
236	10330	33259
237	10382	33239
238	10440	33245
239	10488	33214
240	10535	33179
241	10590	33171
242	10639	33144
243	10692	33129
244	10744	33111
245	10794	33085
246	10849	33075
247	10863	32941
248	10914	32918
249	10968	32905
250	11019	32882
251	11086	32907
252	11134	32876
253	11186	32855
254	11232	32817
255	11270	32754
256	11310	32698
257	11349	32639
258	11393	32595
259	11436	32549
260	11525	32632
261	11581	32621
262	11626	32581
263	11670	32535
264	11707	32472
265	11746	32413
266	11788	32363
267	11827	32305
268	11864	32242
269	11904	32185
270	11941	32123
271	11982	32069
272	12018	32005
273	12059	31953
274	12174	32095
275	12341	32373
276	12421	32420
277	12466	32376
278	12526	32372
279	12572	32329
280	12616	32281
281	12656	32225
282	12700	32176
283	12743	32128
284	12786	32077
285	12831	32033
286	12885	32011
287	12938	31985
288	12982	31938
289	13025	31890
290	13071	31848
291	13120	31813
292	13167	31773
293	13207	31716
294	13250	31666
295	13292	31614
296	13330	31554
297	13373	31503
298	13414	31451
299	13457	31401
300	13497	31345
301	13546	31309
302	13590	31261
303	13635	31218
304	13675	31162
305	13715	31106
306	13756	31052
307	13799	31004
308	13840	30951
309	13881	30896
310	13921	30841
311	13958	30780
312	14004	30737
313	14050	30695
314	14088	30636
315	14128	30581
316	14172	30535
317	14216	30488
318	14257	30436
319	14302	30393
320	14347	30348
321	14402	30326
322	14460	30308
323	14503	30259
324	14552	30223
325	14590	30166
326	14635	30120
327	14657	30030
328	14699	29979
329	14750	29948
330	14805	29923
331	14854	29887
332	14897	29839
333	14940	29792
334	14995	29767
335	15039	29720
336	15089	29686
337	15136	29645
338	15190	29619
339	15241	29587
340	15286	29541
341	15331	29498
342	15379	29459
343	15429	29424
344	15480	29390
345	15526	29347
346	15570	29300
347	15616	29258
348	15663	29217
349	15719	29194
350	15778	29173
351	15859	29196
352	15912	29165
353	15968	29140
354	16019	29106
355	16071	29072
356	16121	29037
357	16179	29013
358	16226	28972
359	16276	28935
360	16326	28899
361	16377	28864
362	16426	28825
363	16477	28790
364	16528	28755
365	16590	28739
366	16642	28704
367	16693	28669
368	16827	28775
369	16886	28752
370	16927	28698
371	16970	28649
372	17015	28602
373	17062	28559
374	17112	28520
375	17156	28472
376	17198	28421
377	17245	28378
378	17289	28329
379	17333	28281
380	17371	28223
381	17414	28173
382	17465	28136
383	17515	28097
384	17561	28053
385	17612	28015
386	17659	27972
387	17702	27923
388	17739	27862
389	17783	27815
390	17837	27781
391	17877	27729
392	17919	27677
393	17961	27626
394	18003	27574
395	18038	27512
396	18077	27457
397	18120	27408
398	18164	27359
399	18206	27309
400	18257	27272
401	18311	27238
402	18362	27202
403	18411	27160
404	18454	27112
405	18501	27068
406	18550	27027
407	18592	26976
408	18643	26939
409	18688	26893
410	18747	26866
411	18801	26833
412	18854	26797
413	18924	26786
414	19006	26792
415	19068	26768
416	19116	26726
417	19168	26688
418	19223	26656
419	19278	26622
420	19328	26582
421	19385	26551
422	19436	26512
423	19485	26470
424	19534	26428
425	19588	26393
426	19637	26352
427	19686	26310
428	19736	26269
429	19780	26220
430	19830	26180
431	19877	26134
432	19928	26095
433	19976	26052
434	20025	26009
435	20075	25969
436	20124	25927
437	20174	25885
438	20226	25848
439	20279	25809
440	20324	25763
441	20379	25728
442	20433	25691
443	20516	25692
444	20568	25653
445	20628	25624
446	20697	25605
447	20750	25568
448	20794	25517
449	20846	25479
450	20888	25426
451	20942	25390
452	20986	25341
453	21032	25294
454	21076	25245
455	21118	25194
456	21161	25143
457	21201	25089
458	21242	25037
459	21284	24986
460	21328	24937
461	21373	24889
462	21414	24837
463	21456	24786
464	21500	24737
