bucket,top_k,rows,dates,mean_return,median_return,hit_rate_positive,p10_return,p90_return,median_avg_value_20d
ALL,10,27960,2796,NaN,0.051215802953075776,0.6008583690987125,-0.1818606565863502,0.8040185324344866,2058385218.043518
2022,10,2440,244,0.12221232962474456,0.029166692490655132,0.5688524590163935,-0.16785205494781938,0.3898746299088384,1655202250.0
2025,10,2350,235,NaN,0.10231846007556149,0.6165957446808511,-0.2783134573638481,NaN,1569358032.5
2016,10,2460,246,0.1430804224399783,0.031991480419563345,0.574390243902439,-0.13253057660493028,0.5409814812062803,2230331635.970783
2019,10,2580,258,1.000308557198843,0.16381483655161222,0.7554263565891473,-0.10868192153374928,4.3844460012721065,2790305172.4676895
2026,10,1010,101,NaN,NaN,0.8633663366336634,-0.040917449645393705,NaN,2122534817.5
2020,10,2410,241,0.24903009284851862,0.11481324186368844,0.6900414937759336,-0.1464184866446135,0.6451077560409346,2308678015.0
2017,10,2540,254,0.07699910945706472,0.013451247960131696,0.5389763779527559,-0.17288890736876317,0.35350073846358654,2499666679.127824
2023,10,2340,234,0.14226161229770196,0.05939732780317816,0.6452991452991453,-0.14393948039699378,0.46009499860382785,1831183590.0
2015,10,2410,241,0.07390275425962319,0.024334789141890047,0.5647302904564315,-0.17868336672762297,0.3236787759496909,2374199906.1857605
2024,10,2350,235,0.10324002366447592,-0.018965342392850568,0.4693617021276596,-0.26742293652860905,0.4942819142451596,1949303397.5
2021,10,2460,246,0.21771061830915978,0.01997375720893388,0.5280487804878049,-0.25582692048607625,0.5913990555104205,2102348755.0
2018,10,2610,261,0.07565439813847516,0.018735567580927065,0.5455938697318008,-0.18576899195924274,0.3540224983866827,1940417279.2019272
ALL,20,55920,2796,NaN,0.03187777822940059,0.5648247496423462,-0.20059312167190757,0.7087533533856909,2529889119.9975586
2016,20,4920,246,0.11435166614952531,0.018542189791417894,0.540650406504065,-0.15097035293813493,0.4719380811662218,2881869300.9266853
2022,20,4880,244,0.10667302613088893,0.028619289770297172,0.5766393442622951,-0.15458053833737245,0.35712875188864834,2145032670.0
2025,20,4700,235,NaN,0.09325192247973219,0.5946808510638298,-0.3160588214780176,NaN,1696028057.5
2019,20,5160,258,0.6927280453875329,0.07712532729426358,0.650968992248062,-0.18703218854034498,2.626218067156011,3228841363.980541
2023,20,4680,234,0.132830947742896,0.05408156571207749,0.6352564102564102,-0.14070183291840105,0.43722250261153633,2396877475.0
2020,20,4820,241,0.17168761316978143,0.07953133660042293,0.6257261410788382,-0.1811624124667348,0.5430352572804386,3248005862.5
2026,20,2020,101,NaN,NaN,0.8504950495049505,-0.050961248567699236,NaN,2646158372.5
2017,20,5080,254,0.06865743095362942,0.002689383505674648,0.5057086614173228,-0.18018172783797543,0.3434297822699291,2935864260.4341984
2018,20,5220,261,0.056228948952631516,0.0026032524228890696,0.5065134099616858,-0.19137805875256358,0.32367298205048667,2502651056.061859
2021,20,4920,246,0.17727917002670177,-0.019411459787906274,0.473780487804878,-0.25862374039947633,0.5814852193103657,2483903950.0
2024,20,4700,235,0.08893420830178994,-0.012023423017872965,0.47723404255319146,-0.27992127267664213,0.469990085434892,2261789052.5
2015,20,4820,241,0.03575521003037696,0.003305645328192946,0.5109958506224066,-0.21431674234538858,0.27795448254525246,3207203746.4632797
ALL,50,139800,2796,NaN,0.008486852487891886,0.5181187410586552,-0.2223899734259172,0.5418968570042791,3926445945.132141
2022,50,12200,244,0.09446821933662614,0.030470113178056552,0.5881147540983607,-0.15677770869475025,0.35904216850445747,3265232857.5
2016,50,12300,246,0.05172794056227891,-0.015678662427160588,0.4643089430894309,-0.19440158096366156,0.3595393835148696,5300410185.652771
2019,50,12900,258,0.27256562329808337,-0.0009055647520058285,0.49829457364341084,-0.3118061111588483,0.4527831250095945,4613087376.633453
2025,50,11750,235,NaN,0.05140713542904367,0.5549787234042554,-0.3407169015951397,NaN,2197418700.0
2017,50,12700,254,0.04510889570182702,-0.0065905316652107564,0.48244094488188977,-0.1920716087785521,0.2687665080330812,4541384459.448242
2023,50,11700,234,0.09773460909089209,0.03588353600090309,0.5927350427350427,-0.16309255076408974,0.3739695559574424,3843414960.0
2026,50,5050,101,NaN,NaN,0.8427722772277227,-0.060033918138572284,NaN,3244058435.0
2020,50,12050,241,0.11240669918751195,0.03407325240329616,0.5612448132780083,-0.2284506421594495,0.46646982296650313,4889602147.5
2018,50,13050,261,0.02150981679455859,-0.018595237223315464,0.44873563218390805,-0.19998999917991012,0.2804798509185299,5014458114.827131
2015,50,12050,241,0.006032049242070828,-0.009271368101506049,0.4742738589211618,-0.22184531889231907,0.22885542045533125,5833614477.70527
2024,50,11750,235,0.05107530583955366,-0.020728120792745632,0.457531914893617,-0.2664240559435205,0.3251962774091614,3205790720.0
2021,50,12300,246,0.11000031861624955,-0.026429905250359542,0.45284552845528453,-0.2608352940982413,0.46170692154903564,3539151292.5
