bucket,top_k,rows,dates,mean_return,median_return,hit_rate_positive,p10_return,p90_return,median_avg_value_20d
ALL,10,27960,2796,NaN,0.05310891189501616,0.6023962804005722,-0.18313191442230503,0.9052843393486811,1899060222.5376892
2016,10,2460,246,0.14204497286423087,0.032432567366892456,0.5756097560975609,-0.13455895063059226,0.5421732002392217,2049157671.3484669
2025,10,2350,235,NaN,0.13007349229300746,0.6306382978723404,-0.23666623469172607,NaN,1486663639.9999993
2022,10,2440,244,0.14167190607697525,0.036221121882491804,0.5844262295081967,-0.1667591846913638,0.4620588021397781,1570559370.0
2019,10,2580,258,1.0544575817638993,0.15766980995892305,0.7457364341085271,-0.11118156997161435,4.518840931305722,2716551921.828232
2020,10,2410,241,0.2649369032512538,0.11738427727925634,0.6929460580912863,-0.13552458742936396,0.6776952872981437,2123218777.5
2026,10,1010,101,NaN,NaN,0.8455445544554455,-0.054430716662610124,NaN,1777565627.5
2023,10,2340,234,0.1665357778761383,0.05667923019729189,0.6410256410256411,-0.14323807031209673,0.4954877984275867,1709048112.5
2017,10,2540,254,0.09218755516775971,0.02004512133457353,0.5535433070866141,-0.17714040799668937,0.3852114476864493,2304832297.755003
2018,10,2610,261,0.08569657877301678,0.01864096626974348,0.5417624521072797,-0.2008940498387383,0.36616340866138525,1809373957.918167
2024,10,2350,235,0.15457833771376378,-0.012023423017872965,0.48127659574468085,-0.2733222561564383,0.6331000614798966,1842410542.5
2015,10,2410,241,0.06790774036386363,0.021038288944022238,0.5560165975103735,-0.18478473913094623,0.32037836132996034,2202382869.6173477
2021,10,2460,246,0.25145516793342065,0.014988770415205995,0.5203252032520326,-0.254799569745667,0.7004778368874622,1902676480.0
ALL,20,55920,2796,NaN,0.03491269726107686,0.5696351931330472,-0.1998792173193765,0.8221654386234247,2272274109.1437817
2019,20,5160,258,0.7110020120003063,0.07624223942570334,0.6498062015503876,-0.18899719065641035,2.8377408261587966,2872108917.608153
2022,20,4880,244,0.12710910173267703,0.03412897413862317,0.5883196721311476,-0.15665518546440516,0.40768908044334135,1910076473.2142859
2025,20,4700,235,NaN,0.13212420343492853,0.6140425531914894,-0.2948396352089941,NaN,1602836932.5
2016,20,4920,246,0.12252037429702264,0.02163374315269346,0.5504065040650407,-0.1503581530998867,0.5061515932770737,2632910551.1575556
2026,20,2020,101,NaN,NaN,0.8425742574257425,-0.0557943972003247,NaN,2152192637.5
2023,20,4680,234,0.16902684616715632,0.05990255899812271,0.6438034188034188,-0.13881597077597552,0.47522479743619506,2174895922.5
2020,20,4820,241,0.19728258163527176,0.08553568949331335,0.6325726141078838,-0.17670303304066434,0.5855919159274163,3080210939.668882
2017,20,5080,254,0.07524972110249639,-0.0020204496038865732,0.49350393700787404,-0.18408925952295338,0.37953867906519545,2511410125.2715616
2021,20,4920,246,0.22181934516453464,-0.0006104155646761984,0.49878048780487805,-0.247850883785398,0.7133585113785078,2168436767.5
2018,20,5220,261,0.06074818145940792,-0.0006817059893571009,0.49808429118773945,-0.19978170847648874,0.3377253128812927,2154143619.1768646
2024,20,4700,235,0.11769105622062637,-0.011217851709424742,0.4774468085106383,-0.28650740757678606,0.5144164182627428,2028039750.0
2015,20,4820,241,0.035628153808568805,0.003819343730619644,0.5118257261410788,-0.21431674234538858,0.2707260442537842,2940730537.25523
ALL,50,139800,2796,NaN,0.01055798394731831,0.5229256080114449,-0.22225763876016452,0.5844104355648847,3462933012.5
2016,50,12300,246,0.057954224811010244,-0.013883842750886728,0.4688617886178862,-0.19414837317575073,0.38106728664058315,4671759022.607765
2022,50,12200,244,0.10203763886860426,0.03321268136593806,0.5945901639344262,-0.150943546167,0.3699947969976677,2847450467.5
2025,50,11750,235,NaN,0.07371102679789743,0.5709787234042554,-0.3394688735131899,NaN,1960537800.0
2019,50,12900,258,0.2850572477234572,0.002677034971054269,0.5073643410852713,-0.30729166864255336,0.4970415853124979,4299764205.654449
2020,50,12050,241,0.128520562467868,0.04063806094349459,0.5731120331950208,-0.2310745244146275,0.49987054276485765,4438771892.5
2023,50,11700,234,0.10794272508080215,0.0359655360474072,0.5937606837606838,-0.16160550480575675,0.38742175506255694,3308891332.5
2026,50,5050,101,NaN,NaN,0.8413861386138614,-0.06648416733966146,NaN,2653719510.0
2017,50,12700,254,0.04384408073567862,-0.008251691265785501,0.477244094488189,-0.19526966831225145,0.2687665080330812,4022561729.3600082
2015,50,12050,241,0.007846626880497358,-0.00909066322189171,0.475103734439834,-0.21885161857479216,0.2315023686409633,5177696182.43992
2024,50,11750,235,0.06961092237515963,-0.017163197186325984,0.46485106382978725,-0.26737236263531705,0.3586192773665326,2669884450.0
2018,50,13050,261,0.023397349566238825,-0.01763205452637272,0.4514176245210728,-0.19783767206614308,0.27777987496390105,4123850777.900734
2021,50,12300,246,0.11507638011347107,-0.025625796203465452,0.45439024390243904,-0.2643898216155678,0.47876801743902175,3070910155.0
