bucket,top_k,rows,dates,mean_return,median_return,hit_rate_positive,p10_return,p90_return,median_avg_value_20d
ALL,10,28000,2800,NaN,-0.02596025736250728,0.4444642857142857,-0.27685679592148354,0.4005770003518772,9934116635.570908
2025,10,2350,235,NaN,-0.08263120215621772,0.38680851063829785,-0.45251870960338625,NaN,12665027452.5
2019,10,2580,258,0.08763403840334295,-0.04694953709128812,0.41821705426356587,-0.36940731462336335,0.40271399315338646,6066820686.673164
2016,10,2460,246,0.0302873152385594,-0.005277501233553139,0.4878048780487805,-0.15645191380414897,0.2537761582475347,8587174795.786667
2022,10,2440,244,-0.0088188201774235,-0.039155906929082204,0.3950819672131147,-0.24285929176500787,0.2665147419123071,14218546925.0
2026,10,1010,101,NaN,NaN,0.7396039603960396,-0.16675246783142722,NaN,11149764585.0
2023,10,2340,234,-0.009483523369789923,-0.018977015711921303,0.46068376068376066,-0.33216645105812814,0.2792401313364763,9123199897.5
2017,10,2540,254,-0.018412440672032175,-0.027900151678568772,0.4110236220472441,-0.18305160073149757,0.1501372237980303,9742052281.513367
2020,10,2410,241,-0.0032539923951674147,-0.03767678908239555,0.4203319502074689,-0.3223809020223824,0.35024807334710895,7064531525.0
2018,10,2610,261,0.0002471541150564152,-0.020250710773875642,0.44022988505747124,-0.1863926592902529,0.21025781991391337,2362715691.166115
2015,10,2450,245,0.012267824729320531,-0.02562673763665741,0.4383673469387755,-0.23718079967830344,0.19403361827372545,12796169517.281723
2024,10,2350,235,0.06242812289636797,0.00029294724945310574,0.5008510638297873,-0.23518354553643678,0.40133932552048285,10270140202.5
2021,10,2460,246,0.07404149906716884,-0.05120264744787127,0.41097560975609754,-0.36292916713118023,0.5336606626506606,19049405212.5
ALL,20,56000,2800,NaN,-0.021043274595930733,0.452125,-0.27203408780519417,0.38380535767055607,7843405582.5
2019,20,5160,258,0.13642596394572537,-0.025077078674019773,0.43914728682170545,-0.3551433717692875,0.3623205005941824,4637194682.478676
2016,20,4920,246,0.027940748620572834,-0.00839476031236747,0.4790650406504065,-0.16705813320995566,0.21893311480057617,6212552480.500825
2025,20,4700,235,NaN,-0.06584930419002856,0.3993617021276596,-0.4189567755935877,NaN,9428734910.0
2022,20,4880,244,-0.005674331907958778,-0.030905729211616297,0.42827868852459017,-0.2768610631214854,0.273545011520961,11012182275.0
2017,20,5080,254,-0.011698535335768477,-0.022562301563823155,0.42578740157480316,-0.19102269841316302,0.16464339683220064,8223102264.707336
2026,20,2020,101,NaN,NaN,0.7504950495049505,-0.17699964971108814,NaN,10725605907.5
2020,20,4820,241,0.02366291645450256,-0.02723362834336061,0.44626556016597513,-0.277605475476091,0.3782993186381881,4392534070.0
2023,20,4680,234,-0.013811470515945218,-0.022808961823897647,0.45256410256410257,-0.3256969062363363,0.2445593585255216,5578002012.5
2021,20,4920,246,0.061856966405106524,-0.05203947995425762,0.4030487804878049,-0.3515035821299779,0.4699007507687013,13124596250.0
2015,20,4900,245,0.008078099640031963,-0.018379360310062993,0.44387755102040816,-0.20506257453394755,0.19993920769589912,14888590751.044132
2024,20,4700,235,0.02899138939585116,-0.020539492264954353,0.46106382978723404,-0.26216502086080584,0.32823498717729394,5629031637.5
2018,20,5220,261,0.012632415542854413,-0.010081319332603653,0.4704980842911877,-0.19565443842667804,0.24867636180845826,4593149144.716568
ALL,50,140000,2800,NaN,-0.02253023648878518,0.44597857142857145,-0.2656731599133789,0.3548467665415228,4196618754.259491
2019,50,12900,258,0.0893805552591998,-0.02786456131010076,0.4277519379844961,-0.37327485773912805,0.2881119173551416,3006277053.3503523
2016,50,12300,246,-0.0033028091043590772,-0.04188870107996741,0.3926829268292683,-0.21884462430451865,0.2151690379372681,2301934996.211319
2025,50,11750,235,NaN,-0.05395664681125918,0.4221276595744681,-0.41615031054614265,NaN,4619671950.0
2022,50,12200,244,-0.0015289292618058626,-0.017785168242254117,0.4544262295081967,-0.26533280874515214,0.2644270561290004,6574207912.5
2026,50,5050,101,NaN,NaN,0.7495049504950495,-0.1712852330418488,NaN,10090136637.5
2023,50,11700,234,0.024565950914834562,-0.007860097256938058,0.4801709401709402,-0.29327668520233807,0.28097623205784333,4271446662.5
2020,50,12050,241,0.013328789516052824,-0.03004299589957727,0.43684647302904567,-0.2585001549070538,0.3079506812420926,1637892812.5
2017,50,12700,254,0.006248618158429046,-0.017940166958533017,0.44228346456692913,-0.1983497384421091,0.19265844298706533,4380482665.557347
2024,50,11750,235,-0.009645800421945436,-0.043851670103543725,0.4125106382978723,-0.28659652185053097,0.25012581037447734,3617017012.5
2021,50,12300,246,0.024097400990732726,-0.0562466546783286,0.3773983739837398,-0.2933743463621712,0.3668443159630228,8117977350.0
2018,50,13050,261,0.005823678422241356,-0.010407171694953078,0.4711111111111111,-0.19112519309540457,0.2081784101593406,3777964184.851575
2015,50,12250,245,0.00012606269551254724,-0.011036889736139331,0.4623673469387755,-0.2049378599822591,0.18411540085396433,4308119196.962891
